timestamp,halow_rssi_dbm,halow_noise_dbm,halow_tx_rate_mbps,halow_rx_rate_mbps,halow_tx_bytes,halow_rx_bytes,halow_retries,halow_drops,halow_channel_active_ms,halow_channel_busy_ms,halow_channel_busy_pct
2025-12-06T13:33:46.751904,-19.0,-82.0,13.9,,4232944,452544,,2,,,
2025-12-06T13:33:49.925693,-19.0,-82.0,13.9,,4232944,452544,,2,,,
2025-12-06T13:33:53.120881,-19.0,-82.0,13.9,,4232944,452544,,2,,,
2025-12-06T13:33:56.686012,-19.0,-82.0,13.9,,4232944,452544,,2,,,
2025-12-06T13:34:00.316836,-19.0,-84.0,13.9,,4233202,452544,,2,,,
2025-12-06T13:34:03.575735,-19.0,-80.0,13.9,,4233202,452544,,2,,,
2025-12-06T13:34:06.791068,-19.0,-82.0,13.9,,4233374,452544,,2,,,
2025-12-06T13:34:10.718533,-21.0,-80.0,13.9,,4233460,452544,,2,,,
2025-12-06T13:34:13.941709,-21.0,-82.0,13.9,,4233460,452544,,2,,,
2025-12-06T13:34:17.038388,-21.0,-84.0,13.9,,4233460,452544,,2,,,
2025-12-06T13:34:20.143975,-21.0,-84.0,13.9,,4233460,452544,,2,,,
2025-12-06T13:34:23.861252,-21.0,-82.0,13.9,,4233460,452544,,2,,,
2025-12-06T13:34:27.042059,-21.0,-82.0,13.9,,4233460,452544,,2,,,
2025-12-06T13:34:30.162303,-20.0,-82.0,13.9,,4233718,452544,,2,,,
2025-12-06T13:34:33.279580,-20.0,-80.0,13.9,,4233718,452544,,2,,,
2025-12-06T13:34:37.899007,-20.0,-82.0,13.9,,4233718,452544,,2,,,
2025-12-06T13:34:41.066742,-20.0,-82.0,13.9,,4233718,452544,,2,,,
2025-12-06T13:34:44.339151,-39.0,-84.0,13.9,,4233804,452544,,2,,,
2025-12-06T13:34:47.352072,-20.0,-82.0,13.9,,4234234,452544,,2,,,
2025-12-06T13:34:51.165502,-20.0,-84.0,13.9,,4234234,452544,,2,,,
2025-12-06T13:34:54.342758,-20.0,-82.0,13.9,,4234234,452544,,2,,,
2025-12-06T13:34:57.430681,-20.0,-80.0,13.9,,4234234,452544,,2,,,
2025-12-06T13:35:00.758755,-20.0,-80.0,13.9,,4234234,452558,,2,,,
2025-12-06T13:35:04.521075,-20.0,-84.0,13.9,,4234234,452558,,2,,,
2025-12-06T13:35:07.556461,-20.0,-82.0,13.9,,4234406,452558,,2,,,
2025-12-06T13:35:10.782597,-20.0,-82.0,13.9,,4234492,452558,,2,,,
2025-12-06T13:35:13.812439,-20.0,-84.0,13.9,,4234492,452558,,2,,,
2025-12-06T13:35:17.315528,-20.0,-82.0,13.9,,4234492,452558,,2,,,
2025-12-06T13:35:20.547875,-20.0,-82.0,13.9,,4234492,452558,,2,,,
2025-12-06T13:35:23.567624,-20.0,-82.0,13.9,,4234492,452558,,2,,,
2025-12-06T13:35:26.591165,-20.0,-82.0,13.9,,4234492,452558,,2,,,
2025-12-06T13:35:30.418442,-20.0,-80.0,13.9,,4234492,452558,,2,,,
